frame_index,elapsed_ms,tracking_side,knee_angle,trunk_lean,foot_offset,cadence_spm,vis_hip,vis_knee,vis_ankle,vis_shoulder,ready,label
43586,22,right,138.03,163.94,-0.196,150.8,0.934,0.388,0.366,0.980,0,good
43587,89,right,126.48,163.23,-0.184,150.8,0.937,0.388,0.368,0.981,0,good
43588,155,right,130.39,163.27,-0.151,150.9,0.939,0.390,0.362,0.982,0,good
43589,222,right,159.44,164.78,-0.117,150.9,0.942,0.360,0.332,0.981,0,good
43591,364,right,109.62,17.07,0.622,150.9,0.947,0.333,0.312,0.983,0,good
43592,422,right,92.44,16.75,0.525,150.9,0.951,0.304,0.287,0.981,0,good
43593,489,right,79.98,15.65,0.443,150.9,0.953,0.294,0.273,0.980,0,good
43594,555,right,70.55,16.35,0.402,155.2,0.958,0.278,0.265,0.982,0,good
43595,623,right,48.03,17.74,0.237,155.2,0.961,0.281,0.269,0.984,0,good
43596,689,right,25.06,17.56,0.095,155.2,0.959,0.273,0.260,0.985,0,good
43768,8376,right,156.30,10.05,0.194,,0.961,0.333,0.316,0.985,0,good
43769,8425,right,160.07,10.02,0.281,,0.965,0.398,0.384,0.987,0,good
43770,8459,right,163.60,9.09,0.332,,0.968,0.457,0.445,0.988,0,good
43771,8530,right,164.82,6.50,0.111,,0.971,0.506,0.495,0.989,0,good
43772,8594,right,151.59,4.62,-0.121,,0.974,0.549,0.540,0.990,1,good
43773,8662,right,148.92,3.74,-0.203,,0.977,0.586,0.579,0.991,1,good
43774,8728,right,159.86,3.39,-0.356,,0.979,0.626,0.620,0.992,1,good
43775,8794,right,165.58,3.51,-0.494,,0.981,0.663,0.658,0.993,1,good
43776,8861,right,161.09,3.20,-0.592,,0.983,0.696,0.691,0.994,1,good
43777,8928,right,147.52,1.35,-0.601,,0.985,0.725,0.720,0.994,1,good
43778,8994,right,130.05,1.03,-0.479,,0.986,0.751,0.747,0.995,1,good
43779,9060,right,122.54,1.58,-0.232,,0.988,0.769,0.762,0.995,1,good
43780,9128,right,130.38,2.30,-0.026,,0.989,0.788,0.780,0.996,1,good
43781,9194,right,155.28,2.34,0.208,,0.990,0.808,0.801,0.996,1,good
43782,9263,right,170.56,0.83,0.308,,0.991,0.825,0.819,0.997,1,good
43783,9329,right,143.17,1.29,-0.310,,0.992,0.842,0.836,0.997,1,good
43784,9395,right,147.02,1.21,-0.064,,0.993,0.856,0.850,0.997,1,good
43785,9462,right,144.77,0.52,-0.146,255.9,0.993,0.868,0.864,0.997,1,good
43786,9530,right,152.42,0.05,-0.263,255.9,0.994,0.880,0.877,0.998,1,good
43787,9595,right,161.82,1.22,-0.400,255.9,0.995,0.891,0.889,0.998,1,good
43788,9664,right,154.91,1.95,-0.440,255.9,0.995,0.902,0.900,0.998,1,good
43789,9728,right,142.37,3.32,-0.450,255.9,0.996,0.911,0.909,0.998,1,good
43790,9795,right,129.01,2.32,-0.294,299.5,0.996,0.916,0.914,0.998,1,good
43791,9862,right,116.27,2.10,-0.121,299.5,0.996,0.920,0.919,0.998,1,good
43792,9928,right,130.74,0.69,0.070,299.5,0.997,0.925,0.924,0.998,1,good
43793,9994,right,158.78,0.92,0.271,299.5,0.997,0.932,0.931,0.998,1,good
43794,10063,right,179.50,2.65,0.399,299.5,0.997,0.938,0.937,0.998,1,good
43795,10129,right,176.38,4.60,0.285,299.5,0.998,0.943,0.943,0.998,1,good
